one,two,three
6.764836999999999,-8.217867,-3.654037
15.108375,2.872749,8.947763
-11.617343,15.379581,-9.438195
-5.027216,10.97443,1.489486
-5.140083,10.051451,-7.072846000000001
-2.687586,7.346296000000001,7.393927000000001
-1.967897,-5.6935910000000005,-16.283920000000002
-2.622592,-7.01549,2.1193560000000002
-0.549379,-4.6488830000000005,-17.519973999999998
-3.82347,17.025748999999998,-7.7490570000000005
-0.46662299999999995,-8.055742,-0.5399
11.035776,-8.697999000000001,-8.19184
2.422333,-5.8398959999999995,2.679795
5.657121,-19.445782,9.088510000000001
-2.414543,-3.158426,-17.771803
-13.363642,-0.971248,0.089562
-0.079603,6.50264,8.464405000000001
-2.630312,-2.7905,13.883698
3.923376,-16.050314,9.175406
-1.14411,11.777886,-6.734666000000001
-12.847828999999999,14.424744,-9.558883999999999
15.60868,3.5726699999999996,8.791215
-2.171539,12.449159,-6.703391000000001
-5.0944970000000005,11.010158,1.578803
1.6938919999999997,-8.474625,-2.92448
3.104533,8.709736,5.797471
-6.538743,13.063532,-10.873891
-0.791625,-6.811192999999999,3.049387
1.093388,9.608599,4.307278
-12.951077,0.42164700000000005,1.662162
3.909714,-5.537737,3.140425
-3.602035,-2.118632,13.936402
3.050961,-18.696136,8.328555
-0.651963,11.841553,-6.0580169999999995
13.958929000000001,2.3874470000000003,11.891053
10.227285,-9.364999000000001,-7.231964
3.85196,-16.826833999999998,10.220705
14.480985999999998,2.816479,11.443408999999999
-11.671863,0.054473,-6.793879
4.492866,-18.828407000000002,9.617444
1.165068,-1.339238,-15.843860000000001
-1.201109,-3.902679,12.385110000000001
-11.020155,-0.302673,-5.433954
-1.3724180000000001,11.030842,-7.157210000000001
1.0025469999999999,-3.873474,0.306084
-4.549798,9.599089999999999,-6.452308
1.351167,-3.436771,11.063667
9.296947,-7.425803999999999,-6.313362000000001
1.9288020000000001,-4.583529,-0.389275
-1.457924,-6.785117,1.579966
1.8341669999999999,-8.948464999999999,0.220108
15.975759,1.6394360000000001,7.053584
-15.048333,-1.9667,-4.943315
-2.7043310000000003,14.490329000000001,-9.335196
-4.430618,8.678499,-6.3865739999999995
-0.67169,-1.871652,12.632987
17.004726,-0.560659,6.951992999999999
-2.3082279999999997,11.601329,-5.97652
-10.575413000000001,14.038839999999999,-11.024734
-4.313431,11.447975999999999,0.969032
-12.928603,14.990155999999999,-8.365129
-2.494575,16.313156,-8.402987
4.8414209999999995,-15.660267000000001,10.08803
15.246557000000001,2.99914,8.363796
-9.555616,16.050592,-7.9362580000000005
11.339089,-8.373814999999999,-8.279736
5.415528,-16.893963,10.30514
-0.764976,2.901621,-13.605979000000001
18.174314000000003,-0.18946,5.415797
14.807077,0.044909,11.07943
-1.4087290000000001,-3.051843,-15.791242
-13.346894,-0.74515,0.713148
-1.8960599999999999,-1.250335,-17.034576
4.874873,-18.175947,10.295322
1.365221,-5.691323000000001,0.325417
14.148667999999999,2.2703130000000002,10.387861000000001
2.764438,8.099464999999999,3.904692
-4.103614,9.125062,-1.1084209999999999
-0.713957,2.454024,-10.973677
-13.096162,0.07564,1.218832
5.083923,-8.625933,0.793622
14.116076999999999,2.087084,10.691115
-0.500189,6.309731,9.576574
5.808097,-18.918806,9.45571
-13.521070000000002,-0.300516,-5.537244
-1.951487,-3.8830080000000002,12.242514
3.9459449999999996,-5.548801999999999,2.0190040000000002
-3.119987,11.383724,-4.73082
16.774282,-0.782759,7.043446
-5.1826620000000005,17.917475,-7.58816
6.133573999999999,-18.377562,8.967151
-14.4,-1.5785049999999998,-0.248718
